Date,Open,High,Low,Close,Adj Close,Volume
"Apr 10, 2025",181.90,185.41,175.96,181.51,180.33,"8,150,900"
"Apr 09, 2025",165.81,189.11,165.70,187.27,186.05,"12,548,600"
"Apr 08, 2025",176.00,178.35,166.36,169.37,168.27,"11,903,400"
"Apr 07, 2025",163.21,175.34,159.36,167.70,166.61,"18,545,500"
"Apr 04, 2025",179.68,183.16,165.42,166.81,165.73,"18,167,100"
"Apr 03, 2025",189.84,194.15,186.72,187.63,186.41,"12,750,500"
"Apr 02, 2025",199.48,202.19,198.43,199.77,198.47,"6,026,500"
"Apr 01, 2025",199.56,204.50,198.47,203.79,202.46,"3,854,000"
"Mar 31, 2025",197.53,201.57,194.45,200.15,198.85,"6,923,100"
"Mar 28, 2025",205.60,206.86,199.59,199.88,198.58,"5,178,400"
"Mar 27, 2025",206.36,207.69,202.80,205.88,204.54,"3,301,900"
"Mar 26, 2025",212.29,214.21,206.69,207.37,206.02,"4,791,100"
"Mar 25, 2025",210.77,212.76,210.25,212.13,210.75,"4,315,200"
"Mar 24, 2025",206.92,210.88,205.60,210.23,208.86,"4,043,900"
"Mar 21, 2025",202.60,204.31,200.82,204.13,202.80,"7,976,300"
"Mar 20, 2025",205.00,206.17,203.11,203.93,202.60,"3,970,800"
"Mar 19, 2025",201.32,206.82,201.32,205.57,204.23,"3,564,000"
"Mar 18, 2025",201.80,201.98,199.52,200.79,199.48,"3,983,100"
"Mar 17, 2025",197.00,203.60,196.33,202.03,200.72,"3,733,000"
"Mar 14, 2025",195.37,197.70,193.60,197.11,195.83,"3,263,200"
"Mar 13, 2025",194.55,195.62,191.67,192.42,191.17,"3,837,200"
"Mar 12, 2025",194.92,197.25,192.43,195.00,193.73,"4,735,000"
"Mar 11, 2025",189.93,193.68,188.32,191.72,190.47,"5,356,700"
"Mar 10, 2025",189.20,192.21,187.91,192.12,190.87,"6,195,000"
"Mar 07, 2025",195.07,195.75,187.68,193.85,192.23,"7,681,300"
"Mar 06, 2025",199.00,200.22,195.28,196.05,194.41,"5,621,400"
"Mar 05, 2025",198.87,204.47,198.69,202.50,200.81,"6,221,200"
"Mar 04, 2025",198.00,203.04,193.26,198.77,197.11,"6,164,200"
"Mar 03, 2025",207.09,208.48,200.81,201.96,200.27,"5,376,400"
"Feb 28, 2025",201.95,207.32,201.03,206.98,205.25,"6,117,400"
"Feb 27, 2025",204.42,205.47,201.10,201.43,199.75,"3,480,200"
"Feb 26, 2025",201.76,204.60,199.99,201.61,199.93,"3,157,400"
"Feb 25, 2025",198.98,200.08,194.84,199.27,197.61,"4,121,400"
"Feb 24, 2025",202.63,203.25,197.43,198.71,197.05,"4,299,100"
"Feb 21, 2025",208.36,209.12,198.44,199.83,198.16,"5,419,500"
"Feb 20, 2025",209.73,210.28,207.15,208.74,207.00,"2,969,100"
"Feb 19, 2025",209.04,211.78,208.88,210.50,208.74,"2,699,100"
"Feb 18, 2025",209.87,212.19,209.32,210.08,208.33,"4,396,000"
"Feb 14, 2025",208.66,209.16,204.97,208.27,206.53,"4,268,500"
"Feb 13, 2025",211.12,211.30,206.27,208.36,206.62,"3,763,300"
"Feb 12, 2025",206.70,211.42,206.14,209.64,207.89,"4,595,200"
"Feb 11, 2025",205.00,209.15,204.44,208.82,207.08,"4,110,900"
"Feb 10, 2025",206.14,206.66,203.40,205.22,203.51,"3,787,500"
"Feb 07, 2025",206.48,207.84,204.50,205.28,203.57,"3,954,400"
"Feb 06, 2025",205.00,206.10,204.06,206.06,204.34,"3,113,200"
